Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,2,3
Date,09/12/19,09/12/19
Start Time,16:45:37,16:50:37
Diameter Midpoint
1.02,,
1.06,,
1.09,,
1.13,,
1.18,,
1.22,,
1.26,,
1.31,,
1.36,,
1.41,,
1.46,,
1.51,,
1.57,,
1.63,,
1.68,,
1.75,,
1.81,,
1.88,,
1.95,,
2.02,,
2.09,,
2.17,,
2.25,,
2.33,,
2.41,,
2.50,,
2.59,,
2.69,,
2.79,,
2.89,,
3.00,,
3.11,,
3.22,,
3.34,,
3.46,,
3.59,,
3.72,,
3.85,,
4.00,,
4.14,,
4.29,,
4.45,,
4.61,,
4.78,,
4.96,,
5.14,,
5.33,,
5.52,,
5.73,,
5.94,,
6.15,,
6.38,,
6.61,,
6.85,,
7.10,,
7.37,,
7.64,,
7.91,,
8.20,,
8.51,,
8.82,,
9.14,,
9.47,,
9.82,,
 10.2,,
 10.6,,
 10.9,,
 11.3,0,0
 11.8,0,0
 12.2,0,16.3883
 12.6,0,0
 13.1,15.198,0
 13.6,0,0
 14.1,0,0
 14.6,0,0
 15.1,13.0629,13.0629
 15.7,12.5911,12.5911
 16.3,0,0
 16.8,11.6936,23.3872
 17.5,33.4473,11.2835
 18.1,11.2762,10.887
 18.8,52.5871,21.0348
 19.5,30.4791,19.6328
 20.2,39.2559,30.1052
 20.9,47.401,37.9208
 21.7,27.5051,55.0102
 22.5,17.7527,26.6291
 23.3,68.7481,34.374
 24.1,16.5737,24.8606
 25.0,42.7478,53.5638
 25.9,67.9536,51.1838
 26.9,53.2549,51.7337
 27.9,80.7461,30.6579
 28.9,28.6079,41.6494
 30.0,41.454,103.728
 31.1,94.5017,67.4753
 32.2,65.8777,83.2801
 33.4,107.247,59.765
 34.6,45.6382,63.0773
 35.9,35.7399,96.3556
 37.2,71.1866,77.1188
 38.5,80.7545,74.9863
 40.0,53.2,55.5423
 41.4,69.2424,116.478
 42.9,60.587,64.7384
 44.5,98.9459,94.6572
 46.1,108.142,129.023
 47.8,85.6145,75.3462
 49.6,74.6627,85.2158
 51.4,104.685,101.132
 53.3,54.7652,62.0861
 55.2,67.558,77.4342
 57.3,113.138,103.905
 59.4,73.0497,113.654
 61.5,62.1565,75.8187
 63.8,73.26,75.7128
 66.1,79.3561,86.3792
 68.5,94.4161,127.904
 71.0,62.2767,74.9289
 73.7,86.2716,88.4524
 76.4,72.7361,78.8428
 79.1,83.5316,79.4399
 82.0,91.1897,110.776
 85.1,92.274,109.489
 88.2,52.5901,104.679
 91.4,47.4043,101.424
 94.7,89.8492,78.8029
 98.2,81.311,140.838
101.8,82.7308,101.306
105.5,104.696,119.031
109.4,102.474,99.0714
113.4,145.027,150.518
117.6,95.4478,109.893
121.9,133.141,117.784
126.3,109.82,120.592
131.0,105.196,103.246
135.8,113.58,77.9033
140.7,92.6102,135.004
145.9,128.691,109.335
151.2,121.614,87.1581
156.8,143.841,138.453
162.5,89.8155,67.5003
168.5,127.139,88.1555
174.7,92.4989,95.3358
181.1,59.8343,100.859
187.7,97.0789,99.2025
194.6,112.935,114.443
201.7,82.5936,70.4063
209.1,89.2884,115.841
216.7,70.5881,101.909
224.7,67.0734,84.6987
232.9,42.4803,96.7915
241.4,81.5527,90.0148
250.3,58.1026,52.1224
259.5,85.2195,78.0959
269.0,63.33,54.4132
278.8,58.5769,76.6006
289.0,46.046,59.785
299.6,63.2098,55.6169
310.6,58.2321,28.2471
322.0,42.4429,71.1741
333.8,54.2583,50.1463
346.0,31.0447,69.7089
358.7,40.1172,35.0993
371.8,35.0069,51.0723
385.4,40.8927,19.3219
399.5,26.3534,26.3534
414.2,32.2347,26.8623
429.4,60.2611,32.8697
445.1,24.1955,29.7464
461.4,27.7387,43.2804
478.3,56.3396,23.1282
495.8,5.8632,29.316
514.0,23.9592,47.9184
532.8,39.5073,30.3852
552.3,27.7446,55.5023
572.5,,
593.5,,
615.3,,
637.8,,
661.2,,
685.4,,
710.5,,
736.5,,
763.5,,
791.5,,
820.5,,
850.5,,
881.7,,
914.0,,
947.5,,
982.2,,
Scan Up Time(s),270,270
Retrace Time(s),20,20
Down Scan First,FALSE,FALSE
Scans Per Sample,1,1
Impactor Type(cm),None,None
Sheath Flow(lpm),3,3
Aerosol Flow(lpm),0.6,0.6
CPC Inlet Flow(lpm),0.6,0.6
CPC Sample Flow(lpm),0.6,0.6
Low Voltage,10.439,10.439
High Voltage,9563.78,9563.78
Lower Size(nm),11.1397,11.1397
Upper Size(nm),562.341,562.341
Density(g/cc),1.2,1.2
Title,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),1,1
tf(s),5.06584,5.06584
D50(nm),1000,1000
Median(nm),105.158,100.681
Mean(nm),135.376,136.26
Geo. Mean(nm),96.1711,97.6062
Mode(nm),113.419,113.419
Geo. Std. Dev.,2.35215,2.31003
Total Concentration(#/cm³),105.28,113.213
Comment,,
