Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,09/13/19,09/13/19,09/13/19
Start Time,16:34:31,16:39:31,16:44:31
Diameter Midpoint
1.02,,,
1.06,,,
1.09,,,
1.13,,,
1.18,,,
1.22,,,
1.26,,,
1.31,,,
1.36,,,
1.41,,,
1.46,,,
1.51,,,
1.57,,,
1.63,,,
1.68,,,
1.75,,,
1.81,,,
1.88,,,
1.95,,,
2.02,,,
2.09,,,
2.17,,,
2.25,,,
2.33,,,
2.41,,,
2.50,,,
2.59,,,
2.69,,,
2.79,,,
2.89,,,
3.00,,,
3.11,,,
3.22,,,
3.34,,,
3.46,,,
3.59,,,
3.72,,,
3.85,,,
4.00,,,
4.14,,,
4.29,,,
4.45,,,
4.61,,,
4.78,,,
4.96,,,
5.14,,,
5.33,,,
5.52,,,
5.73,,,
5.94,,,
6.15,,,
6.38,,,
6.61,,,
6.85,,,
7.10,,,
7.37,,,
7.64,,,
7.91,,,
8.20,,,
8.51,,,
8.82,,,
9.14,,,
9.47,,,
9.82,,,
 10.2,,,
 10.6,,,
 10.9,,,
 11.3,0,0,0
 11.8,0,0,0
 12.2,0,16.3883,0
 12.6,0,15.7707,0
 13.1,0,0,30.3959
 13.6,14.6141,14.6141,14.6141
 14.1,0,0,0
 14.6,0,27.0987,13.5493
 15.1,13.0629,13.0629,13.0629
 15.7,12.5911,12.5911,25.1822
 16.3,12.1346,24.2691,36.4037
 16.8,35.0808,23.3872,58.468
 17.5,0,22.5671,11.2835
 18.1,0,0,87.0963
 18.8,21.0348,22.5197,21.0348
 19.5,60.9582,39.2045,50.7985
 20.2,9.81397,49.0699,55.908
 20.9,28.4406,18.9604,49.0092
 21.7,18.3367,39.2514,85.0291
 22.5,26.6291,50.7624,52.0103
 23.3,17.187,42.9675,25.7805
 24.1,33.1475,33.1475,33.1475
 25.0,16.095,40.2374,32.1899
 25.9,54.7505,48.493,48.493
 26.9,66.2436,74.5572,79.9381
 27.9,16.8298,68.6564,68.2137
 28.9,57.2158,68.9949,64.3678
 30.0,48.4063,55.3215,96.7755
 31.1,45.0781,143.995,69.808
 32.2,81.1569,103.162,127.152
 33.4,69.5892,76.635,122.968
 34.6,114.314,87.4006,63.0738
