Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,09/19/19,09/19/19,09/19/19
Start Time,15:40:23,15:45:24,15:50:23
Diameter Midpoint
1.02,,,
1.06,,,
1.09,,,
1.13,,,
1.18,,,
1.22,,,
1.26,,,
1.31,,,
1.36,,,
1.41,,,
1.46,,,
1.51,,,
1.57,,,
1.63,,,
1.68,,,
1.75,,,
1.81,,,
1.88,,,
1.95,,,
2.02,,,
2.09,,,
2.17,,,
2.25,,,
2.33,,,
2.41,,,
2.50,,,
2.59,,,
2.69,,,
2.79,,,
2.89,,,
3.00,,,
3.11,,,
3.22,,,
3.34,,,
3.46,,,
3.59,,,
3.72,,,
3.85,,,
4.00,,,
4.14,,,
4.29,,,
4.45,,,
4.61,,,
4.78,,,
4.96,,,
5.14,,,
5.33,,,
5.52,,,
5.73,,,
5.94,,,
6.15,,,
6.38,,,
6.61,,,
6.85,,,
7.10,,,
7.37,,,
7.64,,,
7.91,,,
8.20,,,
8.51,,,
8.82,,,
9.14,,,
9.47,,,
9.82,,,
 10.2,,,
 10.6,,,
 10.9,,,
 11.3,0,0,17.7431
 11.8,0,0,17.0562
 12.2,0,0,0
 12.6,0,0,0
 13.1,0,0,0
 13.6,0,0,0
 14.1,0,0,0
 14.6,0,27.0987,27.0987
 15.1,0,0,13.0629
 15.7,0,12.5911,0
 16.3,0,0,0
 16.8,0,11.6936,0
 17.5,0,22.5671,45.1341
 18.1,0,21.7741,43.5481
 18.8,10.5174,10.5174,10.5174
 19.5,30.4791,29.7925,60.9582
 20.2,6.83817,20.2912,26.4661
 20.9,11.8732,18.4135,50.0085
 21.7,8.62072,8.44026,26.4827
 22.5,16.7521,17.4073,33.5622
 23.3,41.9741,76.3636,55.3838
 24.1,24.3293,48.6179,77.5313
 25.0,15.1785,12.7569,23.5867
 25.9,62.7557,57.9784,53.5153
 26.9,35.6752,34.567,28.9848
 27.9,13.1312,27.8394,65.0196
