Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2
Date,09/16/19,09/16/19
Start Time,11:41:55,11:46:55
Diameter Midpoint
1.02,,
1.06,,
1.09,,
1.13,,
1.18,,
1.22,,
1.26,,
1.31,,
1.36,,
1.41,,
1.46,,
1.51,,
1.57,,
1.63,,
1.68,,
1.75,,
1.81,,
1.88,,
1.95,,
2.02,,
2.09,,
2.17,,
2.25,,
2.33,,
2.41,,
2.50,,
2.59,,
2.69,,
2.79,,
2.89,,
3.00,,
3.11,,
3.22,,
3.34,,
3.46,,
3.59,,
3.72,,
3.85,,
4.00,,
4.14,,
4.29,,
4.45,,
4.61,,
4.78,,
4.96,,
5.14,,
5.33,,
5.52,,
5.73,,
5.94,,
6.15,,
6.38,,
6.61,,
6.85,,
7.10,,
7.37,,
7.64,,
7.91,,
8.20,,
8.51,,
8.82,,
9.14,,
9.47,,
9.82,,
 10.2,,
 10.6,,
 10.9,,
 11.3,0,0
 11.8,0,0
 12.2,0,0
 12.6,0,0
 13.1,0,0
 13.6,0,0
 14.1,0,14.0734
 14.6,0,0
 15.1,0,0
 15.7,0,0
 16.3,0,24.2691
 16.8,0,0
 17.5,11.2835,0
 18.1,0,0
 18.8,0,10.5174
 19.5,0,0
 20.2,9.81397,0
 20.9,0,0
 21.7,9.16837,0
 22.5,8.87636,8.87636
 23.3,0,0
 24.1,8.28687,8.28687
 25.0,8.04748,0
 25.9,9.38546,15.643
 26.9,13.6945,7.60784
 27.9,7.34055,22.0217
 28.9,7.15198,21.4559
 30.0,13.8304,20.7456
 31.1,33.7376,13.4951
 32.2,13.1755,19.7633
 33.4,12.7725,19.1587
 34.6,6.2429,12.4858
 35.9,0,12.1231
 37.2,17.7966,8.10755
 38.5,5.76818,3.65299
 40.0,16.9526,13.644
 41.4,11.0035,25.2283
 42.9,10.7897,0
 44.5,5.25873,15.7762
 46.1,5.16093,5.16093
 47.8,20.1446,15.1084
 49.6,9.89264,19.7853
 51.4,4.85961,14.5788
 53.3,0,14.3276
 55.2,14.0847,9.38981
 57.3,4.61663,9.23325
 59.4,4.54088,4.54088
 61.5,8.93511,0
 63.8,8.79305,4.39652
 66.1,0,0
 68.5,0,12.8484
 71.0,11.8599,12.6521
 73.7,0.784193,4.17468
 76.4,8.42538,0
 79.1,3.93355,8.18347
 82.0,16.2058,16.2058
 85.1,8.02383,4.01191
 88.2,3.99213,3.99213
 91.4,7.90738,0
 94.7,11.8033,3.93443
 98.2,11.746,7.83066
101.8,11.6892,15.5856
105.5,3.87762,11.6329
109.4,7.71801,16.1494
113.4,9.18644,7.00335
117.6,6.21694,19.1993
121.9,7.67829,7.67829
126.3,11.5153,23.0305
131.0,19.1884,3.83769
135.8,0,3.83694
140.7,7.70789,11.5618
145.9,3.87109,0
151.2,3.8703,3.8703
156.8,15.5503,0
162.5,7.81004,11.7151
168.5,7.84522,11.7678
174.7,3.95913,11.8774
181.1,3.97722,3.97722
187.7,16.0591,4.01478
194.6,0,4.03339
201.7,0,4.07205
209.1,4.11147,4.11147
216.7,8.30335,12.455
224.7,0,0
232.9,0,0
241.4,0,0
250.3,4.34353,8.68707
259.5,0,4.38856
269.0,0,0
278.8,0,0
289.0,9.1593,0
299.6,4.65588,3.79646
310.6,9.41568,5.57686
322.0,9.57706,9.57706
333.8,0,0
346.0,0,0
358.7,5.01783,5.01783
371.8,0,5.10982
385.4,5.2053,0
399.5,5.27069,5.27069
414.2,0,5.37245
429.4,0,0
445.1,5.55092,5.55092
461.4,5.6641,0
478.3,0,0
495.8,5.8632,0
514.0,0,5.9898
532.8,0,0
552.3,0,0
572.5,,
593.5,,
615.3,,
637.8,,
661.2,,
685.4,,
710.5,,
736.5,,
763.5,,
791.5,,
820.5,,
850.5,,
881.7,,
914.0,,
947.5,,
982.2,,
Scan Up Time(s),270,270
Retrace Time(s),20,20
Down Scan First,FALSE,FALSE
Scans Per Sample,1,1
Impactor Type(cm),None,None
Sheath Flow(lpm),3,3
Aerosol Flow(lpm),0.6,0.6
CPC Inlet Flow(lpm),0.6,0.6
CPC Sample Flow(lpm),0.6,0.6
Low Voltage,10.439,10.439
High Voltage,9563.78,9563.78
Lower Size(nm),11.1397,11.1397
Upper Size(nm),562.341,562.341
Density(g/cc),1.2,1.2
Title,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),1,1
tf(s),5.06584,5.06584
D50(nm),1000,1000
Median(nm),64.0527,53.6701
Mean(nm),106.218,96.9022
Geo. Mean(nm),72.1631,65.4555
Mode(nm),31.059,41.4178
Geo. Std. Dev.,2.35883,2.36842
Total Concentration(#/cm³),9.93665,11.2974
Comment,,
