Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,09/18/19,09/18/19,09/18/19
Start Time,09:07:07,09:12:07,09:17:07
Diameter Midpoint
1.02,,,
1.06,,,
1.09,,,
1.13,,,
1.18,,,
1.22,,,
1.26,,,
1.31,,,
1.36,,,
1.41,,,
1.46,,,
1.51,,,
1.57,,,
1.63,,,
1.68,,,
1.75,,,
1.81,,,
1.88,,,
1.95,,,
2.02,,,
2.09,,,
2.17,,,
2.25,,,
2.33,,,
2.41,,,
2.50,,,
2.59,,,
2.69,,,
2.79,,,
2.89,,,
3.00,,,
3.11,,,
3.22,,,
3.34,,,
3.46,,,
3.59,,,
3.72,,,
3.85,,,
4.00,,,
4.14,,,
4.29,,,
4.45,,,
4.61,,,
4.78,,,
4.96,,,
5.14,,,
5.33,,,
5.52,,,
5.73,,,
5.94,,,
6.15,,,
6.38,,,
6.61,,,
6.85,,,
7.10,,,
7.37,,,
7.64,,,
7.91,,,
8.20,,,
8.51,,,
8.82,,,
9.14,,,
9.47,,,
9.82,,,
 10.2,,,
 10.6,,,
 10.9,,,
 11.3,0,0,0
 11.8,0,0,0
 12.2,0,0,0
 12.6,0,15.7707,0
 13.1,0,15.198,0
 13.6,0,0,0
 14.1,0,14.0734,14.0734
 14.6,0,0,0
 15.1,0,0,13.0629
 15.7,12.5911,0,0
 16.3,0,0,0
 16.8,0,11.6936,0
 17.5,0,0,11.2835
 18.1,10.887,0,0
 18.8,0,0,0
 19.5,0,10.1597,10.1597
 20.2,0,0,0
 20.9,0,9.48021,0
 21.7,18.3367,0,9.16837
 22.5,8.87636,0,8.87636
 23.3,8.59351,0,0
 24.1,24.8606,9.5586,8.28687
 25.0,0,22.9074,8.04748
 25.9,7.82151,7.82151,15.643
 26.9,22.8235,30.4314,7.60784
 27.9,0,29.3622,58.7244
 28.9,14.304,18.6391,7.15198
 30.0,0,2.72357,20.7456
 31.1,6.74753,2.29646,13.4951
 32.2,0,10.9335,6.58777
 33.4,6.38625,0,6.38625
 34.6,12.4858,6.2429,6.2429
 35.9,24.2463,18.1847,6.06157
 37.2,29.6611,11.8644,17.7966
 38.5,0,11.5364,13.9504
 40.0,22.6034,11.3017,14.5877
 41.4,22.007,5.50176,11.0035
 42.9,5.39486,22.823,21.5795
 44.5,5.25873,19.8228,10.5175
 46.1,15.4828,9.27347,15.4828
 47.8,12.4923,6.05919,15.1084
 49.6,17.4084,15.3069,20.2532
 51.4,9.71921,14.1191,33.5576
 53.3,4.77585,5.27065,4.77585
 55.2,4.69491,13.5983,16.4005
 57.3,27.6998,18.4665,20.806
 59.4,9.08176,9.08176,4.54088
 61.5,17.8702,4.46755,8.93511
 63.8,8.79305,14.1614,35.1722
 66.1,17.3107,20.6818,34.6215
 68.5,29.9795,12.8484,8.76034
 71.0,37.1642,8.43476,16.6777
 73.7,9.13355,0,8.34935
 76.4,28.9296,12.3984,8.42538
 79.1,12.2752,12.2752,18.2221
 82.0,20.2572,36.463,2.05796
 85.1,12.0357,20.0596,20.0596
 88.2,11.9764,8.67673,20.6531
 91.4,12.5069,51.358,30.9437
 94.7,26.8983,19.1439,7.98322
 98.2,15.6613,31.2088,18.5519
101.8,19.482,7.79279,20.3885
105.5,7.75524,7.75524,15.5105
109.4,23.154,7.71801,15.436
113.4,15.4333,19.2916,15.4333
117.6,9.34469,11.5196,11.5196
121.9,21.3702,7.67829,7.67829
126.3,11.5153,11.8869,7.67685
131.0,19.1884,22.6546,7.67538
135.8,7.67388,11.5108,7.67388
140.7,7.70789,7.70789,11.5618
145.9,7.74218,7.74218,11.6133
151.2,7.7406,3.8703,3.8703
156.8,7.77517,11.6628,24.7084
162.5,7.79807,3.90502,2.51597
168.5,3.93464,15.6904,7.84522
174.7,0,11.8774,15.8365
181.1,3.97722,7.95443,3.97722
187.7,4.01478,0,12.0443
194.6,4.03339,0,0
201.7,4.07205,0,4.07205
209.1,8.22293,4.11147,0
216.7,8.30335,0,8.31299
224.7,0,8.38539,4.18296
232.9,8.46912,4.23456,4.23456
241.4,0,8.5989,4.29945
250.3,0,4.34353,0
