Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,09/17/19,09/17/19,09/17/19
Start Time,14:06:32,14:11:32,14:16:32
Diameter Midpoint
1.02,,,
1.06,,,
1.09,,,
1.13,,,
1.18,,,
1.22,,,
1.26,,,
1.31,,,
1.36,,,
1.41,,,
1.46,,,
1.51,,,
1.57,,,
1.63,,,
1.68,,,
1.75,,,
1.81,,,
1.88,,,
1.95,,,
2.02,,,
2.09,,,
2.17,,,
2.25,,,
2.33,,,
2.41,,,
2.50,,,
2.59,,,
2.69,,,
2.79,,,
2.89,,,
3.00,,,
3.11,,,
3.22,,,
3.34,,,
3.46,,,
3.59,,,
3.72,,,
3.85,,,
4.00,,,
4.14,,,
4.29,,,
4.45,,,
4.61,,,
4.78,,,
4.96,,,
5.14,,,
5.33,,,
5.52,,,
5.73,,,
5.94,,,
6.15,,,
6.38,,,
6.61,,,
6.85,,,
7.10,,,
7.37,,,
7.64,,,
7.91,,,
8.20,,,
8.51,,,
8.82,,,
9.14,,,
9.47,,,
9.82,,,
 10.2,,,
 10.6,,,
 10.9,,,
 11.3,0,0,0
 11.8,0,0,0
 12.2,0,0,0
 12.6,0,0,0
 13.1,0,0,0
 13.6,0,0,0
 14.1,0,14.0734,0
 14.6,27.0987,0,0
 15.1,0,0,0
 15.7,0,0,0
 16.3,0,0,0
 16.8,0,11.6936,0
 17.5,0,22.5671,0
 18.1,32.6611,10.887,10.887
 18.8,21.0348,10.5174,10.5174
 19.5,30.4791,20.3194,10.1597
 20.2,0,19.6279,19.6279
 20.9,9.48021,9.48021,9.48021
 21.7,0,9.16837,9.16837
 22.5,26.6291,26.6291,35.5054
 23.3,12.5772,25.7805,25.7805
 24.1,12.7322,41.4343,24.8606
 25.0,16.095,8.04748,16.095
 25.9,31.286,7.82151,7.82151
 26.9,35.8123,15.2157,12.9887
 27.9,31.5109,14.6811,38.8515
 28.9,42.9119,7.15198,21.4559
 30.0,41.4912,20.7456,27.6608
 31.1,47.2327,29.2866,0
 32.2,46.1144,30.6968,26.3511
 33.4,56.1571,31.9312,37.6579
 34.6,51.2328,43.7003,13.7789
 35.9,36.3694,36.3694,37.3229
 37.2,37.7686,47.4577,34.0441
 38.5,38.2621,31.2549,46.1454
 40.0,50.8578,42.842,39.556
 41.4,42.3918,44.014,27.5088
 42.9,90.3957,64.7384,17.4281
 44.5,66.1814,36.8111,56.6339
 46.1,45.1624,46.4484,44.3516
 47.8,31.2399,55.3976,22.1907
 49.6,34.6242,24.7316,0
 51.4,37.1103,19.4384,14.5788
 53.3,35.167,14.3276,29.1499
 55.2,23.4745,9.38981,46.4626
 57.3,49.8719,22.1721,12.9389
 59.4,37.2231,28.1414,19.0596
 61.5,31.2729,23.8521,44.6755
 63.8,43.9652,52.2398,30.7757
 66.1,34.6215,16.3541,13.7652
 68.5,21.4139,21.4139,24.9227
 71.0,25.3043,37.9564,25.3043
 73.7,75.1442,35.3913,33.3974
 76.4,20.664,39.5139,49.5936
 79.1,49.0357,28.4839,30.6554
 82.0,72.32,39.8439,42.5724
 85.1,45.2984,40.7831,36.1072
 88.2,36.1207,60.5744,23.9528
