Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,09/15/19,09/15/19,09/15/19
Start Time,17:08:34,17:13:34,17:18:34
Diameter Midpoint
1.02,,,
1.06,,,
1.09,,,
1.13,,,
1.18,,,
1.22,,,
1.26,,,
1.31,,,
1.36,,,
1.41,,,
1.46,,,
1.51,,,
1.57,,,
1.63,,,
1.68,,,
1.75,,,
1.81,,,
1.88,,,
1.95,,,
2.02,,,
2.09,,,
2.17,,,
2.25,,,
2.33,,,
2.41,,,
2.50,,,
2.59,,,
2.69,,,
2.79,,,
2.89,,,
3.00,,,
3.11,,,
3.22,,,
3.34,,,
3.46,,,
3.59,,,
3.72,,,
3.85,,,
4.00,,,
4.14,,,
4.29,,,
4.45,,,
4.61,,,
4.78,,,
4.96,,,
5.14,,,
5.33,,,
5.52,,,
5.73,,,
5.94,,,
6.15,,,
6.38,,,
6.61,,,
6.85,,,
7.10,,,
7.37,,,
7.64,,,
7.91,,,
8.20,,,
8.51,,,
8.82,,,
9.14,,,
9.47,,,
9.82,,,
 10.2,,,
 10.6,,,
 10.9,,,
 11.3,0,0,0
 11.8,0,0,0
 12.2,0,0,0
 12.6,0,0,0
 13.1,0,0,0
 13.6,0,0,0
 14.1,0,0,0
 14.6,0,0,0
 15.1,0,0,0
 15.7,0,0,0
 16.3,0,0,0
 16.8,0,0,0
 17.5,0,0,0
 18.1,0,0,0
 18.8,0,0,0
 19.5,0,0,0
 20.2,0,0,0
 20.9,0,0,0
 21.7,0,0,0
 22.5,0,8.87636,8.87636
 23.3,0,0,0
 24.1,0,8.28687,0
 25.0,0,0,0
 25.9,0,0,0
 26.9,7.60784,0,7.60784
 27.9,7.34055,0,0
 28.9,0,7.15198,0
 30.0,6.91519,0,0
 31.1,6.74753,0,0
 32.2,0,6.58777,0
 33.4,6.38625,0,6.38625
 34.6,0,6.2429,0
 35.9,0,6.06157,6.06157
 37.2,11.8644,5.93221,0
 38.5,0,5.76818,5.76818
 40.0,5.65086,11.3017,11.3017
 41.4,11.0035,0,5.50176
 42.9,16.1846,5.39486,0
 44.5,0,0,0
 46.1,10.3219,5.16093,10.3219
 47.8,5.03615,0,5.03615
 49.6,0,19.7853,4.94632
 51.4,9.71921,7.9527,0
 53.3,14.3276,1.73607,0
 55.2,4.69491,4.69491,0
 57.3,0,9.23325,9.23325
 59.4,4.54088,0,4.54088
 61.5,8.93511,13.4027,4.46755
 63.8,4.39652,4.39652,0
 66.1,4.32769,0,8.65537
 68.5,8.56558,0,4.28279
 71.0,8.43476,4.21738,8.43476
 73.7,16.6987,8.34935,8.34935
 76.4,8.26561,8.26561,4.1328
 79.1,16.3669,0,4.09173
 82.0,8.10289,4.05144,0
 85.1,4.01191,8.27554,4.01191
 88.2,7.98426,15.718,7.98426
 91.4,3.95369,11.8611,7.90738
 94.7,11.8033,11.8033,3.93443
 98.2,7.83066,3.91533,0
101.8,11.6892,7.79279,7.79279
105.5,3.87762,3.29006,3.87762
109.4,0,8.30274,0
113.4,0,3.85832,7.71664
117.6,0,3.83985,3.83985
121.9,3.83914,0,3.83914
126.3,3.83842,0,3.83842
131.0,0,3.83769,3.83769
135.8,0,0,0
140.7,3.85394,7.70789,0
145.9,7.74218,2.23567,3.87109
151.2,0,1.63509,2.12332
156.8,0,0,5.64237
162.5,3.90502,3.90502,3.90502
168.5,3.92261,7.84522,3.92261
174.7,7.91825,0,7.91825
181.1,3.97722,7.95443,3.97722
187.7,8.02955,4.01478,8.02955
194.6,4.03339,4.03339,12.1002
201.7,4.07205,0,0
209.1,0,0,4.11147
216.7,4.15167,0,0
224.7,4.1927,4.1927,8.38539
232.9,4.23456,0,0
241.4,0,8.5989,0
250.3,0,0,0
259.5,0,4.38856,0
269.0,0,4.4584,8.9168
278.8,0,0,4.50591
289.0,4.57965,4.57965,0
299.6,0,0,0
310.6,0,0,4.70784
322.0,9.57706,0,0
333.8,0,0,4.87209
346.0,0,4.92915,0
